product,dwb_asset_category,dwb_asset_type,dwb_unit,lr_rule,fee_parameter,Search Terms
"(Cargo Hold, Eng Rm. And etc) Exh Fan",Ex. Proof Fan or Ventilator,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,explosive gas atmosphere certified safe
10K SOPFF,Pipe Fittings,Machinery Equipment,batch,,Section 12.7,pipe fittings
1st stage cylinder,Statement of work,Other Services,batch,,Time base,
2-Way Temp Control Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
2nd Shaft and Chain Drum for windlass,structure,Hull equipment,batch,,Section 8.5,structural arrangements scantlings
AC Generator,AC Generator,Electrical Equipment & Component,,,Section 5.2,main source electrical power
AC Motor,AC Motor,Electrical Equipment & Component,,,Section 5.1,electric motor insulation
ACCESS & SMALL HATCH,Closing appliance(Doors),Outfitting Equipment & Component,batch,,Section 11.6,watertight doors closing
Accommodation Ladder (PORT & STBD),Ladders and equipment,Hull equipment,PCS,CLASS HULL Parts 2 & 3,Section 8.4,ladders access arrangements
Accommodation Ladder and Winch,Ladders and equipment,Hull equipment,PCS,CLASS HULL Parts 2 & 3,Section 8.4,ladders access arrangements
Accumulator Block,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Accumulator Flange,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,q'ty,Section 12.7,pipe fittings
Accumulator Shell,Steel forgings as forged,Materials,batch,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
ACCUMULATOR STAND,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
ACTUATION CONTROL UNIT,Hydraulic block or cylinder,Engine & Propulsion Components,batch,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Actuator,Actuator for valve,Machinery Equipment,batch,CLASS MACH Part 5,Valve Dia (mm),valve actuator remote
Actuator Body,Cast iron as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,iron castings spheroidal graphite
Actuator Housing and cover,Steel forging as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
ADAPTER,Hydraulic block or cylinder,Engine & Propulsion Components,batch,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Air Cooler (Plate type heat exchanger),Heat exchanger Plate Type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
Air Driven Diaphragm Pump,Displacement Pumps,Machinery Equipment,,,Section 10.1,pumps machinery
Air Drying Package,Unfired Pressure vessel,Pressure vessels,pcs,,Section 12.6,pressure vessels
Air release & Vacuum Relief Valve (3rd party),Statement of work,Other Services,pcs,,hour,
Air Reservoir,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
Air reservoir for em'cy shut-off valves,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
Air reservoir for quick closing,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
"Air Reservoirs for Main, Auxiliary, General Service and Control",Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
air vent,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Air Vent Plug,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Air Vent Trap & Air vent,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Al. Round bar,Bar Profiles,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.3 or Section 4.5,rolled steel bars sections
Alarm Monitoring System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
ALS CHAMBER,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
ALTERNATIVE MARITIME POWER SWITCHBOARD (AMP),Electrical console/panel,Electrical Equipment & Component,pcs,q'ty,Section 5.9,switchboard
Aluminum Wedge,Bolts,Engine & Propulsion Components,batch,,Section 10.9,bolts securing arrangements
AMS Hardware,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,,Section 5.7,control alarm monitoring systems
Anchor,Anchor,Hull equipment,kg,,Section 8.1,anchors equipment number
ANCHOR CHAIN CABLE,Anchor chain cable,Hull equipment,Batch,,Section 8.2,chain cables proof test
Anchor Strip,Anchor Strip,,,,Section 13.6,anchors equipment number
"Anchor Strip, Sus Corner",Metallic Components for LNG CCS,LNG/CCS Components,batch,,Section 13.6,low temperature service materials
Anchor windlass,Windlass,Outfitting Equipment & Component,pcs,CLASS HULL Parts 2 & 3,Cable dia(mm),windlass anchor handling
Angle Body,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Atmospheric Dump Condenser / Drain Cooler for Gas Heater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
Atmospheric Water Bath with Helical Coil,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
"Automatic(Manual) BUS transfer, casualty power terminal",Statement of work,Other Services,batch,CLASS ELEC Part 6,hour,
AUX AIR RESERVOIR,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
Aux. Boiler LSMGO Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
Auxiliary AC Motor,AC Motor,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.1,electric motor insulation
Auxiliary Central F.W. Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
Axial Check Valve / Wafer,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Axial Flow Check Valve (Wafer & Screw),Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Axial Piston Pump,Displacement Pump,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
B.O.G Pipe,Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
